Ni,Cu,Fe,Cr,Mo,Nb,Ta,Mn,Si,Co,Al,Mg,Ti,Zr,W,V,C,B,P,S,TT,TC
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,400,29.288
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,500,31.45
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,600,33.611
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,700,33.427
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,800,34.608
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,900,35.884
0.03764,0.03476,0.73359,0.1726,0,0.00089,0.00046,0.00603,0.0118,0,0,0,0,0,0,0,0.00161,0,0.00036,0.00026,1000,39.657
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,25,22.964
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,100,24.327
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,200,27.804
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,300,29.76
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,400,31.134
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,500,33.751
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,600,37.797
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,700,33.492
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,800,35.842
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,900,40.027
0.04285,0.02494,0.71828,0.17555,0.00137,0.00088,0,0.00686,0.02335,0,0,0,0,0,0,0,0.00592,0,0,0,1000,48.285
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,25,17.201
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,100,18.852
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,200,21.051
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,300,23.834
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,400,26.132
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,500,28.465
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,600,32.335
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,700,33.861
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,800,37.462
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,900,36.245
0.00246,0,0.00258,0.31642,0.0361,0,0,0.00525,0.01028,0.62691,0,0,0,0,0,0,0,0,0,0,25,142.686
0,0.00128,0.00117,0.00005,0,0,0,0.00247,0.00657,0,0.97933,0.00904,0.00006,0.00003,0,0,0,0,0,0,40,143.419
0,0.00128,0.00117,0.00005,0,0,0,0.00247,0.00657,0,0.97933,0.00904,0.00006,0.00003,0,0,0,0,0,0,60,144.481
0,0.00128,0.00117,0.00005,0,0,0,0.00247,0.00657,0,0.97933,0.00904,0.00006,0.00003,0,0,0,0,0,0,80,146.251
0,0.00128,0.00117,0.00005,0,0,0,0.00247,0.00657,0,0.97933,0.00904,0.00006,0.00003,0,0,0,0,0,0,100,148.851
0,0.00128,0.00117,0.00005,0,0,0,0.00247,0.00657,0,0.97933,0.00904,0.00006,0.00003,0,0,0,0,0,0,120,150.109
0,0.00128,0.00117,0.00005,0,0,0,0.00247,0.00657,0,0.97933,0.00904,0.00006,0.00003,0,0,0,0,0,0,140,151.613
0,0.00128,0.00117,0.00005,0,0,0,0.00247,0.00657,0,0.97933,0.00904,0.00006,0.00003,0,0,0,0,0,0,160,151.625
0,0.00128,0.00117,0.00005,0,0,0,0.00247,0.00657,0,0.97933,0.00904,0.00006,0.00003,0,0,0,0,0,0,180,154.03
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20,225
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,218
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,371,192
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,401
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,377
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,367
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,71.9
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,65.7
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371,44.6
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,93.7
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,136
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,427,115
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,53.7
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,55
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23,7.82
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,148
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23,100
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,170
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,100,167
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,160,163
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,15.6
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,100,15.3
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,299,14.7
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,22.7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100,154
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,299,142
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,20,34.6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,129
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,27
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0.235
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,0.269
